Shipment_ID,Origin_Region,Carrier_Name,Cargo_Type,Planned_ETA,Actual_Arrival,Weather_Index,Port_Congestion_Level,Distance_KM
SHP1005,DE,GlobalShip,Hazardous,13-04-2025,17-04-2025,10,0.52,3123
SHP1005,U.S.,FastLogistics,Perishable,24-08-2025,26-08-2025,2,0.86,13628
SHP1005,U.S.,GlobalShip,Standard,16-03-2025,21-03-2025,9,0.1,9339
SHP1005,CN,FastLogistics,Fragile,22-08-2025,25-08-2025,99,0.44,5791
SHP1005,Germany,OceanWave,Fragile,16-06-2025,17-06-2025,7,0.98,8327
SHP1005,Germany,,Perishable,31-07-2025,02-08-2025,7,0.17,10971
SHP1006,China,,Standard,22-07-2025,30-07-2025,1,0.09,5682
SHP1007,Germany,GlobalShip,Standard,07-02-2025,07-02-2025,7,0.99,3552
SHP1008,Germany,,Fragile,11-08-2025,15-08-2025,8,,1738
SHP1009,U.S.,AirFreight_Inc,Hazardous,06-04-2025,07-04-2025,6,0.89,572
SHP1010,India,AirFreight_Inc,Fragile,13-03-2025,23-03-2025,8,0.56,2138
SHP1011,CN,,Hazardous,04-03-2025,03-03-2025,4,0.85,4168
SHP1012,IN,,Perishable,19-02-2025,21-02-2025,1,0.27,7421
SHP1013,USA,OceanWave,Hazardous,06-01-2025,08-01-2025,2,0.08,14407
SHP1014,United States,GlobalShip,Fragile,16-01-2025,26-01-2025,5,0,9746
SHP1015,China,,Hazardous,06-02-2025,05-02-2025,10,0.26,6407
SHP1016,IN,GlobalShip,Perishable,27-02-2025,01-03-2025,2,0.94,4225
SHP1017,China,FastLogistics,Fragile,11-02-2025,13-02-2025,2,0.46,12249
SHP1018,DE,FastLogistics,Standard,26-01-2025,03-02-2025,4,0.26,8484
SHP1019,Brazil,FastLogistics,Standard,04-05-2025,06-05-2025,7,0.27,14501
SHP1020,United States,OceanWave,Perishable,01-03-2025,10-03-2025,2,0.83,5125
SHP1021,IN,AirFreight_Inc,Standard,29-01-2025,07-02-2025,4,0.64,3685
SHP1022,India,FastLogistics,Fragile,22-02-2025,02-03-2025,10,0.64,6706
SHP1023,United States,GlobalShip,Fragile,19-01-2025,23-01-2025,10,,12110
SHP1024,Germany,FastLogistics,Perishable,04-05-2025,04-05-2025,3,0.65,14206
SHP1025,IN,FastLogistics,Perishable,16-01-2025,16-01-2025,2,0.39,8514
SHP1026,IN,AirFreight_Inc,Perishable,26-08-2025,30-08-2025,2,0.06,1893
SHP1027,DE,GlobalShip,Hazardous,08-08-2025,16-08-2025,3,0.6,7931
SHP1028,China,,Fragile,20-03-2025,23-03-2025,99,0.13,832
SHP1029,USA,FastLogistics,Standard,21-03-2025,24-03-2025,99,,7267
SHP1030,IN,OceanWave,Standard,13-07-2025,14-07-2025,9,0.39,14514
SHP1031,CN,AirFreight_Inc,Standard,20-08-2025,26-08-2025,4,0.21,8694
SHP1032,India,,Perishable,14-09-2025,21-09-2025,4,0.31,11870
SHP1033,U.S.,OceanWave,Standard,09-03-2025,16-03-2025,3,,13630
SHP1034,CN,,Standard,26-03-2025,29-03-2025,4,0.57,2171
SHP1035,United States,,Perishable,08-09-2025,15-09-2025,8,0.2,9592
SHP1036,DE,,Fragile,15-03-2025,16-03-2025,4,0.92,11504
SHP1037,Germany,AirFreight_Inc,Perishable,15-07-2025,17-07-2025,5,0.97,8856
SHP1038,Brazil,,Fragile,10-04-2025,16-04-2025,7,0.77,10066
SHP1039,U.S.,AirFreight_Inc,Hazardous,10-07-2025,10-07-2025,99,0.03,6152
SHP1040,United States,GlobalShip,Hazardous,04-07-2025,13-07-2025,99,0.22,6613
SHP1041,India,GlobalShip,Hazardous,15-10-2025,18-10-2025,2,0.23,7127
SHP1042,IN,FastLogistics,Hazardous,22-05-2025,22-05-2025,7,0.2,1365
SHP1043,DE,,Standard,15-07-2025,17-07-2025,2,0.94,4079
SHP1044,China,GlobalShip,Fragile,07-10-2025,07-10-2025,7,0.2,6706
SHP1045,United States,GlobalShip,Perishable,01-07-2025,06-07-2025,6,0.77,6739
SHP1046,IN,FastLogistics,Standard,29-03-2025,08-04-2025,10,0.13,10699
SHP1047,CN,AirFreight_Inc,Fragile,08-02-2025,09-02-2025,3,0.41,14433
SHP1048,China,AirFreight_Inc,Hazardous,04-08-2025,09-08-2025,4,0.59,508
SHP1049,Germany,GlobalShip,Perishable,27-10-2025,01-11-2025,99,0.61,705
SHP1050,Germany,GlobalShip,Standard,26-10-2025,05-11-2025,10,0.61,941
SHP1051,DE,AirFreight_Inc,Fragile,12-08-2025,13-08-2025,3,0.89,3826
SHP1052,IN,AirFreight_Inc,Fragile,26-04-2025,24-04-2025,9,0.57,10492
SHP1053,China,,Hazardous,05-08-2025,09-08-2025,7,0.94,8107
SHP1054,United States,GlobalShip,Standard,10-01-2025,08-01-2025,3,0.12,7627
SHP1055,United States,OceanWave,Perishable,12-06-2025,17-06-2025,3,0.3,12352
SHP1056,India,OceanWave,Hazardous,30-04-2025,04-05-2025,3,0.05,5568
SHP1057,United States,FastLogistics,Fragile,23-07-2025,24-07-2025,99,0.82,4350
SHP1058,Germany,,Perishable,20-09-2025,28-09-2025,1,0.76,3185
SHP1059,CN,FastLogistics,Perishable,22-07-2025,01-08-2025,6,0.68,7091
SHP1060,Brazil,OceanWave,Standard,04-05-2025,05-05-2025,2,0.33,6908
SHP1061,United States,FastLogistics,Perishable,16-07-2025,21-07-2025,3,0.49,2209
SHP1062,India,OceanWave,Standard,30-03-2025,02-04-2025,2,0.51,6928
SHP1063,CN,OceanWave,Hazardous,21-04-2025,30-04-2025,5,0.2,5415
SHP1064,India,,Fragile,14-06-2025,16-06-2025,5,0.78,11806
SHP1065,Germany,OceanWave,Perishable,01-05-2025,07-05-2025,7,,12728
SHP1066,CN,GlobalShip,Perishable,23-07-2025,30-07-2025,10,0.93,1662
SHP1067,Germany,,Standard,22-09-2025,26-09-2025,3,0.54,3554
SHP1068,USA,,Standard,12-06-2025,11-06-2025,1,0.43,12334
SHP1069,U.S.,OceanWave,Fragile,20-02-2025,25-02-2025,10,0.58,5333
SHP1070,United States,GlobalShip,Hazardous,24-08-2025,30-08-2025,9,0.12,9779
SHP1071,Germany,FastLogistics,Hazardous,05-10-2025,10-10-2025,7,0.92,6016
SHP1072,DE,,Perishable,21-10-2025,19-10-2025,9,0.49,10742
SHP1073,DE,AirFreight_Inc,Hazardous,08-03-2025,12-03-2025,5,0.82,1066
SHP1074,IN,FastLogistics,Fragile,05-01-2025,11-01-2025,2,0.69,2708
SHP1075,DE,GlobalShip,Perishable,31-03-2025,03-04-2025,1,0.39,13871
SHP1076,U.S.,GlobalShip,Standard,18-10-2025,18-10-2025,5,0.96,6145
SHP1077,China,,Perishable,11-05-2025,15-05-2025,5,0.33,11399
SHP1078,DE,FastLogistics,Perishable,13-03-2025,21-03-2025,4,0.26,7418
SHP1079,IN,GlobalShip,Fragile,18-01-2025,26-01-2025,8,,11691
SHP1080,China,,Hazardous,09-01-2025,08-01-2025,6,0.88,2608
SHP1081,DE,FastLogistics,Hazardous,11-06-2025,12-06-2025,5,0.13,5696
SHP1082,U.S.,OceanWave,Perishable,06-08-2025,16-08-2025,2,0.37,14933
SHP1083,Germany,GlobalShip,Fragile,17-03-2025,15-03-2025,6,0.92,14491
SHP1084,United States,AirFreight_Inc,Fragile,20-01-2025,26-01-2025,6,,2191
SHP1085,USA,OceanWave,Perishable,10-07-2025,18-07-2025,8,0.43,11526
SHP1086,India,,Fragile,10-09-2025,19-09-2025,7,0.05,4873
SHP1087,Brazil,FastLogistics,Standard,21-10-2025,23-10-2025,3,0.88,13119
SHP1088,CN,GlobalShip,Perishable,16-05-2025,16-05-2025,8,0.94,14893
SHP1089,DE,AirFreight_Inc,Perishable,31-08-2025,03-09-2025,3,0.26,2585
SHP1090,IN,,Standard,20-07-2025,19-07-2025,5,0.71,8163
SHP1091,Brazil,GlobalShip,Perishable,25-01-2025,28-01-2025,9,0.86,2045
SHP1092,United States,FastLogistics,Perishable,06-10-2025,15-10-2025,4,0.23,8164
SHP1093,USA,,Fragile,09-05-2025,10-05-2025,5,0.81,11433
SHP1094,DE,AirFreight_Inc,Standard,24-05-2025,24-05-2025,5,0.4,5576
SHP1095,U.S.,,Fragile,14-08-2025,21-08-2025,7,0.6,13986
SHP1096,China,,Hazardous,21-06-2025,22-06-2025,9,0.31,3820
SHP1097,CN,FastLogistics,Perishable,08-02-2025,06-02-2025,1,0.08,12621
SHP1098,Germany,GlobalShip,Fragile,04-08-2025,08-08-2025,9,0.1,10676
SHP1099,DE,,Standard,08-02-2025,08-02-2025,9,0.71,10092
SHP1100,IN,,Perishable,17-06-2025,17-06-2025,5,,13991
SHP1101,USA,OceanWave,Fragile,22-08-2025,23-08-2025,9,0.63,10825
SHP1102,China,FastLogistics,Perishable,21-09-2025,20-09-2025,4,0.08,14635
SHP1103,DE,,Hazardous,01-08-2025,03-08-2025,7,0.89,8525
SHP1104,India,AirFreight_Inc,Fragile,16-10-2025,24-10-2025,7,0.02,9084
SHP1105,United States,OceanWave,Hazardous,14-09-2025,23-09-2025,4,0.82,6498
SHP1106,USA,,Standard,29-01-2025,07-02-2025,4,,12482
SHP1107,China,AirFreight_Inc,Perishable,20-08-2025,25-08-2025,5,0.48,4941
SHP1108,India,OceanWave,Hazardous,01-02-2025,11-02-2025,7,0.54,11317
SHP1109,India,GlobalShip,Standard,23-08-2025,21-08-2025,3,0.3,1225
SHP1110,Germany,OceanWave,Perishable,10-06-2025,13-06-2025,2,0.35,13082
SHP1111,United States,FastLogistics,Perishable,12-04-2025,20-04-2025,9,0.23,10513
SHP1112,DE,OceanWave,Perishable,08-08-2025,16-08-2025,1,0.76,3555
SHP1113,Brazil,AirFreight_Inc,Fragile,24-02-2025,25-02-2025,8,0.1,13241
SHP1114,USA,OceanWave,Standard,08-09-2025,16-09-2025,2,0.71,3451
SHP1115,United States,AirFreight_Inc,Perishable,14-05-2025,24-05-2025,99,0.99,2296
SHP1116,DE,,Fragile,06-09-2025,11-09-2025,7,0.49,2237
SHP1117,U.S.,GlobalShip,Fragile,21-09-2025,22-09-2025,1,0.57,14521
SHP1118,Germany,AirFreight_Inc,Perishable,30-08-2025,05-09-2025,8,0.47,10724
SHP1119,IN,FastLogistics,Perishable,13-02-2025,16-02-2025,8,0.3,6715
SHP1120,China,GlobalShip,Perishable,11-04-2025,12-04-2025,9,0.14,6171
SHP1121,Brazil,OceanWave,Standard,07-04-2025,09-04-2025,10,0.95,5491
SHP1122,IN,FastLogistics,Hazardous,28-08-2025,02-09-2025,10,0.76,5351
SHP1123,United States,AirFreight_Inc,Standard,16-01-2025,22-01-2025,1,0.36,6436
SHP1124,Germany,FastLogistics,Perishable,10-07-2025,09-07-2025,2,0.45,5741
SHP1125,United States,FastLogistics,Fragile,25-02-2025,27-02-2025,99,0.73,11046
SHP1126,USA,AirFreight_Inc,Hazardous,04-04-2025,09-04-2025,2,0.91,8996
SHP1127,DE,GlobalShip,Standard,07-09-2025,11-09-2025,3,0.34,2730
SHP1128,United States,AirFreight_Inc,Perishable,13-10-2025,23-10-2025,5,0.67,1018
SHP1129,IN,AirFreight_Inc,Perishable,18-08-2025,26-08-2025,2,0.62,10847
SHP1130,United States,GlobalShip,Standard,22-03-2025,01-04-2025,4,0.65,12729
SHP1131,USA,GlobalShip,Fragile,31-07-2025,05-08-2025,2,0.32,11215
SHP1132,U.S.,,Perishable,23-04-2025,01-05-2025,4,0.75,3153
SHP1133,Brazil,FastLogistics,Standard,27-03-2025,30-03-2025,7,0.15,7301
SHP1134,Germany,GlobalShip,Standard,15-01-2025,22-01-2025,5,0.43,2129
SHP1135,Brazil,AirFreight_Inc,Perishable,23-06-2025,28-06-2025,1,0.5,7946
SHP1136,IN,AirFreight_Inc,Perishable,10-10-2025,14-10-2025,9,0.89,12264
SHP1137,IN,GlobalShip,Hazardous,14-09-2025,13-09-2025,3,0.92,14736
SHP1138,Germany,OceanWave,Standard,13-02-2025,22-02-2025,6,0.39,9476
SHP1139,U.S.,GlobalShip,Hazardous,04-04-2025,08-04-2025,10,0.68,11551
SHP1140,U.S.,FastLogistics,Perishable,17-01-2025,15-01-2025,99,0.76,4162
SHP1141,DE,FastLogistics,Fragile,04-02-2025,13-02-2025,9,0.39,2172
SHP1142,DE,OceanWave,Fragile,12-08-2025,16-08-2025,2,0.93,10376
SHP1143,Germany,,Perishable,24-02-2025,05-03-2025,5,0.67,9323
SHP1144,India,OceanWave,Fragile,19-05-2025,17-05-2025,1,,13640
SHP1145,CN,GlobalShip,Hazardous,22-05-2025,25-05-2025,4,0.22,2982
SHP1146,United States,OceanWave,Perishable,12-10-2025,19-10-2025,9,0.17,9313
SHP1147,Brazil,AirFreight_Inc,Hazardous,16-04-2025,17-04-2025,4,0.3,3769
SHP1148,United States,OceanWave,Standard,08-03-2025,08-03-2025,3,0.09,12308
SHP1149,United States,,Standard,06-09-2025,09-09-2025,99,0.55,8018
SHP1150,DE,OceanWave,Hazardous,01-04-2025,08-04-2025,8,0.03,10562
SHP1151,CN,FastLogistics,Fragile,09-07-2025,19-07-2025,1,,12222
SHP1152,U.S.,AirFreight_Inc,Fragile,03-08-2025,08-08-2025,9,0.76,14060
SHP1153,Brazil,OceanWave,Fragile,30-07-2025,05-08-2025,6,0.75,8181
SHP1154,DE,OceanWave,Perishable,19-07-2025,27-07-2025,9,0.57,2877
SHP1155,United States,,Fragile,27-01-2025,25-01-2025,9,0.33,6238
SHP1156,India,,Hazardous,17-01-2025,23-01-2025,8,0.67,6657
SHP1157,India,,Fragile,24-03-2025,03-04-2025,99,,3032
SHP1158,Germany,OceanWave,Fragile,26-01-2025,24-01-2025,4,0.79,3603
SHP1159,U.S.,,Hazardous,03-07-2025,03-07-2025,8,0.05,7113
SHP1160,Brazil,,Standard,23-02-2025,26-02-2025,2,0.12,2558
SHP1161,United States,GlobalShip,Standard,22-09-2025,30-09-2025,8,0.74,9402
SHP1162,United States,GlobalShip,Standard,07-04-2025,05-04-2025,9,0.88,4509
SHP1163,Brazil,AirFreight_Inc,Perishable,30-03-2025,29-03-2025,10,0.85,13788
SHP1164,Germany,OceanWave,Perishable,19-07-2025,28-07-2025,6,0.85,2273
SHP1165,United States,AirFreight_Inc,Standard,22-01-2025,28-01-2025,8,0.71,5808
SHP1166,DE,FastLogistics,Hazardous,29-09-2025,02-10-2025,3,0.38,13547
SHP1167,CN,,Perishable,19-01-2025,17-01-2025,8,0.69,7381
SHP1168,U.S.,FastLogistics,Standard,29-01-2025,08-02-2025,1,,7616
SHP1169,USA,OceanWave,Hazardous,30-05-2025,30-05-2025,5,0.96,7989
SHP1170,DE,OceanWave,Fragile,09-05-2025,07-05-2025,7,0.69,1152
SHP1171,China,OceanWave,Fragile,03-04-2025,12-04-2025,3,0.99,14323
SHP1172,CN,FastLogistics,Standard,03-09-2025,10-09-2025,8,0.09,12183
SHP1173,CN,GlobalShip,Perishable,09-07-2025,11-07-2025,1,0.46,6598
SHP1174,IN,FastLogistics,Standard,02-05-2025,09-05-2025,3,0.26,6219
SHP1175,United States,AirFreight_Inc,Standard,09-09-2025,07-09-2025,9,0.23,3614
SHP1176,China,GlobalShip,Fragile,23-01-2025,23-01-2025,6,0.8,10187
SHP1177,U.S.,FastLogistics,Hazardous,05-10-2025,13-10-2025,3,0.53,12181
SHP1178,Germany,GlobalShip,Hazardous,21-05-2025,21-05-2025,5,0.77,5619
SHP1179,U.S.,,Standard,12-01-2025,22-01-2025,9,,7321
SHP1180,India,FastLogistics,Standard,01-10-2025,04-10-2025,8,0.68,6446
SHP1181,USA,OceanWave,Standard,03-03-2025,10-03-2025,7,0.12,7781
SHP1182,Brazil,FastLogistics,Perishable,30-04-2025,08-05-2025,5,0.75,5128
SHP1183,IN,FastLogistics,Fragile,12-06-2025,13-06-2025,3,0.71,5045
SHP1184,CN,,Fragile,07-05-2025,11-05-2025,4,0.43,1348
SHP1185,DE,,Hazardous,08-07-2025,18-07-2025,10,0.95,1463
SHP1186,DE,AirFreight_Inc,Perishable,07-01-2025,10-01-2025,7,0.52,10154
SHP1187,CN,GlobalShip,Standard,09-03-2025,10-03-2025,9,0.4,5322
SHP1188,U.S.,OceanWave,Hazardous,07-03-2025,09-03-2025,4,0.02,553
SHP1189,USA,FastLogistics,Perishable,04-06-2025,13-06-2025,7,0.27,9858
SHP1190,China,GlobalShip,Fragile,23-10-2025,29-10-2025,1,0.59,14899
SHP1191,Brazil,OceanWave,Standard,22-05-2025,29-05-2025,4,0.53,14265
SHP1192,China,GlobalShip,Hazardous,05-02-2025,07-02-2025,7,0.57,5606
SHP1193,China,,Standard,11-06-2025,21-06-2025,6,0.41,11975
SHP1194,U.S.,,Fragile,16-08-2025,23-08-2025,5,0.81,13683
SHP1195,IN,GlobalShip,Standard,28-06-2025,04-07-2025,2,0.37,1037
SHP1196,IN,OceanWave,Standard,08-03-2025,17-03-2025,7,0.21,8497
SHP1197,China,GlobalShip,Hazardous,04-04-2025,04-04-2025,3,0.26,8191
SHP1198,Brazil,FastLogistics,Hazardous,05-06-2025,13-06-2025,99,0.63,13654
SHP1199,United States,OceanWave,Hazardous,05-02-2025,11-02-2025,3,,4127
SHP1200,CN,OceanWave,Fragile,08-09-2025,06-09-2025,5,0.35,4675
SHP1201,U.S.,FastLogistics,Fragile,03-10-2025,02-10-2025,5,0.55,1385
SHP1202,China,FastLogistics,Fragile,22-05-2025,01-06-2025,7,0.74,13574
SHP1203,IN,GlobalShip,Fragile,27-03-2025,03-04-2025,6,0.08,10595
SHP1204,China,GlobalShip,Perishable,25-02-2025,26-02-2025,5,0.64,1569
SHP1205,Brazil,AirFreight_Inc,Fragile,05-09-2025,06-09-2025,5,0.54,5756
SHP1206,United States,GlobalShip,Perishable,05-04-2025,09-04-2025,9,0.44,1399
SHP1207,Germany,GlobalShip,Fragile,21-04-2025,24-04-2025,7,0.86,3897
SHP1208,CN,AirFreight_Inc,Fragile,09-09-2025,17-09-2025,7,0.29,7672
SHP1209,CN,,Fragile,28-04-2025,27-04-2025,4,0.55,13070
SHP1210,CN,AirFreight_Inc,Fragile,17-02-2025,21-02-2025,8,0.85,11603
SHP1211,CN,,Fragile,20-03-2025,23-03-2025,4,0.59,6725
SHP1212,IN,,Perishable,18-07-2025,27-07-2025,7,0.55,9429
SHP1213,United States,,Fragile,20-07-2025,18-07-2025,5,0.71,6455
SHP1214,U.S.,FastLogistics,Fragile,10-04-2025,17-04-2025,8,0.37,2504
SHP1215,United States,FastLogistics,Standard,27-04-2025,04-05-2025,7,0.76,12598
SHP1216,China,OceanWave,Perishable,01-07-2025,04-07-2025,1,0.78,4736
SHP1217,CN,FastLogistics,Fragile,02-10-2025,04-10-2025,1,0.26,8526
SHP1218,USA,AirFreight_Inc,Fragile,26-09-2025,05-10-2025,5,0.68,6749
SHP1219,Germany,FastLogistics,Standard,18-04-2025,28-04-2025,1,0.01,2825
SHP1220,China,OceanWave,Hazardous,29-05-2025,28-05-2025,2,0.67,12897
SHP1221,China,AirFreight_Inc,Perishable,27-02-2025,25-02-2025,8,0.2,12484
SHP1222,United States,FastLogistics,Fragile,21-04-2025,24-04-2025,8,0.57,12885
SHP1223,India,FastLogistics,Standard,16-08-2025,15-08-2025,6,0.4,4106
SHP1224,Brazil,GlobalShip,Perishable,20-09-2025,18-09-2025,4,0.28,13605
SHP1225,DE,AirFreight_Inc,Fragile,14-02-2025,22-02-2025,9,0.06,2584
SHP1226,China,,Standard,25-10-2025,04-11-2025,5,0.75,7911
SHP1227,China,AirFreight_Inc,Standard,28-07-2025,06-08-2025,3,,804
SHP1228,Brazil,,Perishable,22-07-2025,24-07-2025,10,,12285
SHP1229,United States,OceanWave,Fragile,18-06-2025,26-06-2025,6,0.3,14258
SHP1230,DE,AirFreight_Inc,Fragile,08-03-2025,17-03-2025,4,,9420
SHP1231,China,GlobalShip,Hazardous,05-02-2025,07-02-2025,6,0.89,6128
SHP1232,India,FastLogistics,Perishable,20-06-2025,23-06-2025,99,0.63,10974
SHP1233,U.S.,FastLogistics,Hazardous,20-04-2025,25-04-2025,1,0.6,3279
SHP1234,CN,GlobalShip,Hazardous,10-06-2025,18-06-2025,6,0.86,14607
SHP1235,China,FastLogistics,Hazardous,31-08-2025,10-09-2025,3,0.16,1700
SHP1236,United States,,Fragile,01-10-2025,30-09-2025,8,0.72,654
SHP1237,Brazil,GlobalShip,Standard,23-09-2025,21-09-2025,5,0.16,6857
SHP1238,CN,OceanWave,Standard,26-06-2025,25-06-2025,8,0.41,5100
SHP1239,U.S.,OceanWave,Fragile,19-01-2025,21-01-2025,6,0.88,9698
SHP1240,India,AirFreight_Inc,Perishable,28-04-2025,27-04-2025,3,,9121
SHP1241,Brazil,OceanWave,Perishable,15-09-2025,14-09-2025,99,0.39,8617
SHP1242,China,AirFreight_Inc,Perishable,14-08-2025,24-08-2025,2,0.44,4040
SHP1243,India,,Standard,02-01-2025,02-01-2025,1,0.75,12987
SHP1244,Brazil,GlobalShip,Hazardous,11-08-2025,16-08-2025,4,0.04,851
SHP1245,IN,FastLogistics,Perishable,14-05-2025,19-05-2025,99,0.52,11898
SHP1246,DE,GlobalShip,Perishable,16-09-2025,26-09-2025,3,0.89,9007
SHP1247,United States,OceanWave,Hazardous,19-04-2025,19-04-2025,10,0.12,12484
SHP1248,Germany,FastLogistics,Fragile,03-08-2025,06-08-2025,5,,8476
SHP1249,Germany,OceanWave,Fragile,21-04-2025,25-04-2025,8,0.76,7670
SHP1250,IN,GlobalShip,Standard,05-02-2025,05-02-2025,99,0.53,11968
SHP1251,China,GlobalShip,Hazardous,17-08-2025,27-08-2025,10,0.82,14835
SHP1252,Brazil,FastLogistics,Standard,05-08-2025,06-08-2025,5,0.19,10030
SHP1253,U.S.,,Hazardous,22-10-2025,22-10-2025,3,0.4,5485
SHP1254,USA,AirFreight_Inc,Hazardous,17-07-2025,18-07-2025,4,0.84,8637
SHP1255,Germany,,Perishable,06-04-2025,10-04-2025,8,0.95,13703
SHP1256,DE,GlobalShip,Standard,16-08-2025,19-08-2025,7,0.82,9990
SHP1257,CN,OceanWave,Perishable,26-05-2025,30-05-2025,4,0.46,8261
SHP1258,DE,,Hazardous,15-08-2025,15-08-2025,6,0.15,3591
SHP1259,U.S.,,Standard,09-10-2025,14-10-2025,8,0.37,14927
SHP1260,U.S.,OceanWave,Standard,03-07-2025,09-07-2025,9,0.8,13268
SHP1261,IN,FastLogistics,Standard,18-09-2025,25-09-2025,6,0.79,6980
SHP1262,DE,,Perishable,14-04-2025,24-04-2025,3,0.3,14225
SHP1263,CN,AirFreight_Inc,Fragile,13-05-2025,22-05-2025,5,0.79,4475
SHP1264,CN,OceanWave,Fragile,07-10-2025,08-10-2025,10,0.75,14773
SHP1265,United States,OceanWave,Fragile,25-07-2025,28-07-2025,1,0.53,7957
SHP1266,Brazil,FastLogistics,Fragile,21-10-2025,26-10-2025,8,0.27,9459
SHP1267,DE,,Fragile,08-10-2025,17-10-2025,3,0.81,13070
SHP1268,Germany,AirFreight_Inc,Perishable,21-09-2025,20-09-2025,10,0.87,4641
SHP1269,Germany,OceanWave,Hazardous,03-01-2025,13-01-2025,5,0.93,8358
SHP1270,China,,Hazardous,06-09-2025,08-09-2025,5,0.29,6844
SHP1271,India,AirFreight_Inc,Hazardous,23-01-2025,22-01-2025,6,0.8,13940
SHP1272,DE,,Fragile,18-10-2025,25-10-2025,8,0.39,2681
SHP1273,CN,AirFreight_Inc,Standard,24-09-2025,26-09-2025,8,0.66,6624
SHP1274,IN,,Perishable,28-08-2025,27-08-2025,3,0.15,7416
SHP1275,USA,AirFreight_Inc,Standard,20-02-2025,26-02-2025,6,0.92,2391
SHP1276,DE,OceanWave,Hazardous,22-10-2025,30-10-2025,5,0.4,12693
SHP1277,China,OceanWave,Perishable,03-05-2025,09-05-2025,7,0.49,8943
SHP1278,Brazil,,Standard,27-06-2025,06-07-2025,7,0.38,6307
SHP1279,IN,,Hazardous,25-07-2025,04-08-2025,6,,7953
SHP1280,IN,GlobalShip,Hazardous,10-05-2025,19-05-2025,5,0.41,13494
SHP1281,CN,GlobalShip,Standard,26-10-2025,02-11-2025,3,0.65,10718
SHP1282,CN,GlobalShip,Hazardous,06-03-2025,07-03-2025,8,0.25,13858
SHP1283,DE,GlobalShip,Perishable,14-03-2025,20-03-2025,99,0.93,8226
SHP1284,CN,,Hazardous,18-04-2025,25-04-2025,5,0.13,10319
SHP1285,India,GlobalShip,Hazardous,07-06-2025,05-06-2025,5,0.04,1251
SHP1286,China,,Hazardous,17-01-2025,15-01-2025,6,0.6,5979
SHP1287,IN,AirFreight_Inc,Hazardous,11-03-2025,19-03-2025,10,0.85,6217
SHP1288,India,OceanWave,Hazardous,10-08-2025,13-08-2025,9,0.71,2797
